query,intent,brand,model,year,sensor
who working on Volvo Control Network right now?,access_governance,Volvo,XC60,2022,Control Network
When did we start collecting High Voltage battery for Polestar 5?,temporal_stats,Polestar,Polestar 5,2025,High Voltage battery
production vehicle logs for Zeekr Vision system?,collection_method,Zeekr,009,2024,Vision system
must usr OBD-II logger for Volvo data?,collection_method,Volvo,XC90,2025,NVH
special attachments for XC60 Bonnet sensor?,collection_method,Volvo,XC60,2022,Bonnet sensor
os Control Network more accurate in Polestar 4 or Polestar 5?,comparative_analysis,Polestar,Polestar 4,2025,Control Network
Whqt are the peaks of ADAS Camera in Jiyue 01?,statistical_query,Jiyue,01,2023,ADAS Camera
difference in Lidar data for Lotus vs Zeekr,comparative_analysis,Lotus,Emeya,2025,Lidar
frequency of adas camera errors jiyue,anomaly_info,Jiyue,07,2024,ADAS Camera
for 7X what Vision system info exists?,data_definition,Zeekr,7X,2024,Vision system
give me Hood sensor max min X,statistical_query,Zeekr,X,2024,Hood sensor
what is Bonnet sensor average in Polestar Polestar 2?,statistical_query,Polestar,Polestar 2,2022,Bonnet sensor
compare HV battery between 08 EM-P and 08 EM-P,comparative_analysis,Lynk & Co,08 EM-P,2025,HV battery
what about CAN-FD on the 007?,contextual_followups,Zeekr,007,2025,CAN-FD
erratic Control Network data in X,anomaly_info,Zeekr,X,2025,Control Network
pull LIDAR history for Panda Mini,imperative_commands,Geely Auto,Panda Mini,2023,LIDAR
LiDAR glitching on Emigrant?,anomaly_info,Geely Auto,Emigrant,2024,LiDAR
mean CAN-FD across Lynk & Co fleet,statistical_query,Lynk & Co,09 Ultra,2024,CAN-FD
first time traction battery was used in lynk & co,temporal_stats,Lynk & Co,09 Ultra,2022,Traction battery
why LIDAR collection discontinued 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2023,LIDAR
start date for HV battery logs Polestar 5,temporal_stats,Polestar,Polestar 5,2025,HV battery
is LiDAR more accurate in Emigrant or EX90?,comparative_analysis,Geely Auto,Emigrant,2023,LiDAR
request access to Polestar 5 Tyre Pressure,access_governance,Polestar,Polestar 5,2025,Tyre Pressure
what about High Voltage battery on the Polestar 5?,contextual_followups,Polestar,Polestar 5,2025,High Voltage battery
what about Boot latch sensor on the 07?,contextual_followups,Jiyue,07,2024,Boot latch sensor
avg value for LIDAR Evija,statistical_query,Lotus,Evija,2020,LIDAR
what about bonnet sensor on the 08 em-p,contextual_followups,Lynk & Co,08 EM-P,2025,Bonnet sensor
contact for 4 Hood sensor access,access_governance,Polestar,Polestar 4,2024,Hood sensor
why Control Network spikes in Geely Auto?,anomaly_info,Geely Auto,Panda Mini,2024,Control Network
explain NVH context in 03 TCR,data_definition,Lynk & Co,03 TCR,2021,NVH
check Acoustics database health,system_status_check,Zeekr,Mix,2025,Acoustics
special attachments for 01 vision system,collection_method,Lynk & Co,01,2025,Vision system
how is Bonnet sensor data gathered for Jiyue?,collection_method,Jiyue,01,2024,Bonnet sensor
what is TPMS average in Lynk & Co 09 Ultra?,statistical_query,Lynk & Co,09 Ultra,2024,TPMS
compare High Voltage battery between Polestar 3 and S90,comparative_analysis,Polestar,Polestar 3,2024,High Voltage battery
for S90 what Lidar info exists?,data_definition,Volvo,S90,2025,Lidar
When did we start collecting Noise and Vibration for Evija?,temporal_stats,Lotus,Evija,2024,Noise and Vibration
is Vision system still being recorded for X?,temporal_stats,Zeekr,X,2025,Vision system
is trunk sensor more accurate in 07 or 01,comparative_analysis,Jiyue,07,2024,Trunk sensor
what Control Network means for car Evija?,data_definition,Lotus,Evija,2024,Control Network
pull Tore Pressure history for Geometry E,imperative_commands,Geely Auto,Geometry E,2024,Tire Pressure
get me tire pressure stats for polestar 4,imperative_commands,Polestar,Polestar 4,2024,Tire Pressure
for Polestar 3 what LIDAR info exists?,data_definition,Polestar,Polestar 3,2023,LIDAR
average reading of CANBUS V60 Recharge,statistical_query,Volvo,V60 Recharge,2025,CANBUS
difference in TPMS data for Lynk & Co vs Jiyue,comparative_analysis,Lynk & Co,09 Ultra,2021,TPMS
special attachments for 007 Tire Pressure?,collection_method,Zeekr,007,2025,Tire Pressure
how long we have Traction battery data for 001?,temporal_stats,Zeekr,001,2024,Traction battery
does Tyre Pressure need Roof-mounted rig for collection?,collection_method,Geely Auto,Coolray,2019,Tyre Pressure
erratic TPMS data in Coolray,anomaly_info,Geely Auto,Coolray,2024,TPMS
lidar performance jiyue vs jiyue,comparative_analysis,Jiyue,01,2024,LIDAR
is tyre pressure data stream broken for emeya,system_status_check,Lotus,Emeya,2024,Tyre Pressure
is High Voltage battery data stream broken for XC90?,system_status_check,Volvo,XC90,2024,High Voltage battery
is Bonnet sensor more accurate in Starray or Emira?,comparative_analysis,Geely Auto,Starray,2025,Bonnet sensor
is HV battery more accurate in Polestar 4 or Polestar 4?,comparative_analysis,Polestar,Polestar 4,2024,HV battery
start date for Bonnet sensor logs 09 Ultra,temporal_stats,Lynk & Co,09 Ultra,2021,Bonnet sensor
start date for Boot latch sensor logs Emeya,temporal_stats,Lotus,Emeya,2025,Boot latch sensor
Autonomous sensor glitching on S90?,anomaly_info,Volvo,S90,2016,Autonomous sensor
ADAS Camera glitching on Galaxy L7?,anomaly_info,Geely Auto,Galaxy L7,2024,ADAS Camera
what about CANBUS on the S90?,contextual_followups,Volvo,S90,2017,CANBUS
pull LiDAR history for 08 EM-P,imperative_commands,Lynk & Co,08 EM-P,2023,LiDAR
for 05 what Control Network info exists?,data_definition,Lynk & Co,05,2022,Control Network
what is Tyre Pressure average in 5?,statistical_query,Polestar,Polestar 5,2025,Tyre Pressure
ADAS Camrra performance Jiyue vs Volvo,comparative_analysis,Jiyue,01,2025,ADAS Camera
Show me outliers for Vision system in S90,anomaly_info,Volvo,S90,2019,Vision system
is S90 Noise and Vibration streaming?,collection_method,Volvo,S90,2016,Noise and Vibration
contact for 03 TCR CANBUS access,access_governance,Lynk & Co,03 TCR,2020,CANBUS
explain CANBUS context in 4,data_definition,Polestar,Polestar 4,2025,CANBUS
compare CANBUS between EM90 and EM90,comparative_analysis,Volvo,EM90,2024,CANBUS
special attachments for X CAN-FD?,collection_method,Zeekr,X,2025,CAN-FD
is Noise and Vibration more accurate in S90 or S90?,comparative_analysis,Volvo,S90,2022,Noise and Vibration
why we use HDF5 for Lidar?,data_definition,Geely Auto,Geometry E,2023,Lidar
is LIDAR more accurate in Galaxy L7 or Coolray?,comparative_analysis,Geely Auto,Galaxy L7,2024,LIDAR
contact for Mix Traction battery access,access_governance,Zeekr,Mix,2024,Traction battery
why Lidar spikes in Lynk & Co?,anomaly_info,Lynk & Co,03 TCR,2025,Lidar
why CANBUS collection discontinued Emeya?,temporal_stats,Lotus,Emeya,2025,CANBUS
how is Bonnet sensor data gathered for Zeekr?,collection_method,Zeekr,009,2022,Bonnet sensor
What types of Lidar data are available for Lynk & Co 03 TCR?,data_definition,Lynk & Co,03 TCR,2020,Lidar
erratic High Voltage battery data in 009,anomaly_info,Zeekr,009,2022,High Voltage battery
common range for Traction battery in Jiyue,statistical_query,Jiyue,07,2025,Traction battery
pull Acoustics history for 01,imperative_commands,Jiyue,01,2024,Acoustics
average reading of CAN-FD Mix,statistical_query,Zeekr,Mix,2024,CAN-FD
What are the peaks of CANBUS in Lotus Emeya?,statistical_query,Lotus,Emeya,2024,CANBUS
why control network spikes in polestar,anomaly_info,Polestar,Polestar 2,2021,Control Network
pull Lodar history for Mix,imperative_commands,Zeekr,Mix,2024,Lidar
compare TPMS between Polestar 3 and Polestar 2,comparative_analysis,Polestar,Polestar 3,2025,TPMS
why control network collection discontinued 07,temporal_stats,Jiyue,07,2024,Control Network
Control Network performance Polestar vs Zeekr,comparative_analysis,Polestar,Polestar 2,2025,Control Network
difference in traction battery data for lotus vs lotus,comparative_analysis,Lotus,Evija,2024,Traction battery
erratic control network data in 7x,anomaly_info,Zeekr,7X,2024,Control Network
identify Traction battery anomalies Zeekr,anomaly_info,Zeekr,007,2024,Traction battery
diffrrence in LiDAR data for Lynk & Co vs Geely Auto,comparative_analysis,Lynk & Co,Z10,2025,LiDAR
is vision system still being recorded for polestar 5,temporal_stats,Polestar,Polestar 5,2026,Vision system
request access to 3 Vision system,access_governance,Polestar,Polestar 3,2023,Vision system
avg value for TPMS EM90,statistical_query,Volvo,EM90,2024,TPMS
why NVH spikes in Polestar?,anomaly_info,Polestar,Polestar 5,2026,NVH
who working on Lotus Bonnet sensor right now?,access_governance,Lotus,Evija,2023,Bonnet sensor
what about Control Nrtwork on the 01?,contextual_followups,Jiyue,01,2023,Control Network
compare tire pressure between coolray and coolray,comparative_analysis,Geely Auto,Coolray,2024,Tire Pressure
give me traction battery max min 007,statistical_query,Zeekr,007,2024,Traction battery
Is CAN-FD data live for Eletre?,collection_method,Lotus,Eletre,2024,CAN-FD
is Acoustics more accurate in X or X?,comparative_analysis,Zeekr,X,2023,Acoustics
is NVH data stream broken for 07?,system_status_check,Jiyue,07,2025,NVH
why HV battery collection discontinued X?,temporal_stats,Zeekr,X,2024,HV battery
What types of Boot latch sensor data are available for Volvo XC90?,data_definition,Volvo,XC90,2021,Boot latch sensor
special attachments for em90 can-fd,collection_method,Volvo,EM90,2024,CAN-FD
os LiDAR data stream broken for V60 Recharge?,system_status_check,Volvo,V60 Recharge,2022,LiDAR
how Trqction battery works in Lynk & Co 05?,data_definition,Lynk & Co,05,2020,Traction battery
for 01 what HV battery info exists?,data_definition,Lynk & Co,01,2023,HV battery
common range for LIDAR in Jiyue,statistical_query,Jiyue,01,2023,LIDAR
is LiDAR more accurate in 08 EM-P or 09 Ultra?,comparative_analysis,Lynk & Co,08 EM-P,2025,LiDAR
get me Trunk sensor stats for 001,imperative_commands,Zeekr,001,2022,Trunk sensor
what is CANBUS for Volvo?,data_definition,Volvo,S90,2017,CANBUS
request access to 4 Noise and Vibration,access_governance,Polestar,Polestar 4,2024,Noise and Vibration
bad data points in Vision system XC60,anomaly_info,Volvo,XC60,2019,Vision system
how Control Network works in Zeekr 001?,data_definition,Zeekr,001,2022,Control Network
show High Voltage battery owner now,imperative_commands,Jiyue,07,2024,High Voltage battery
compare Tire Pressure between Emira and Polestar 4,comparative_analysis,Lotus,Emira,2023,Tire Pressure
compqre CAN-FD between 01 and 05,comparative_analysis,Lynk & Co,01,2025,CAN-FD
difference in Lidar data for vs Volvo,comparative_analysis,Zeekr,007,2024,Lidar
how long we have lidar data for 03 tcr,temporal_stats,Lynk & Co,03 TCR,2022,LiDAR
is LiDAR data stream broken for 07?,system_status_check,Jiyue,07,2025,LiDAR
what are the peaks of adas camera in zeekr mix,statistical_query,Zeekr,Mix,2024,ADAS Camera
get me TPMS stats for 05,imperative_commands,Lynk & Co,05,2023,TPMS
08 EM-P Lidar data typr?,data_definition,Lynk & Co,08 EM-P,2024,Lidar
why tyre pressure spikes in jiyue,anomaly_info,Jiyue,07,2024,Tyre Pressure
What types of HV battery data are available for Zeekr X?,data_definition,Zeekr,X,2025,HV battery
get me NVH stats for Eletre,imperative_commands,Lotus,Eletre,2024,NVH
what is Acoustics for Lotus?,data_definition,Lotus,Emeya,2025,Acoustics
What are the peaks of Acoustics in Volvo EX30?,statistical_query,Volvo,EX30,2024,Acoustics
What types of ADAS Camera data are available for Jiyue 01?,data_definition,Jiyue,01,2023,ADAS Camera
must use Micro-epsilon for Volvo data?,collection_method,Volvo,XC60,2022,Control Network
is autonomous sensor more accurate in geometry e or z10,comparative_analysis,Geely Auto,Geometry E,2025,Autonomous sensor
what is Control Network for Jiyue?,data_definition,Jiyue,01,2024,Control Network
is acoustics still being recorded for emeya,temporal_stats,Lotus,Emeya,2024,Acoustics
what about Tyre Pressure on the 07?,contextual_followups,Jiyue,07,2024,Tyre Pressure
common range for boot latch sensor in lotus,statistical_query,Lotus,Evija,2023,Boot latch sensor
give me HV battery max min Coolray,statistical_query,Geely Auto,Coolray,2019,HV battery
is 007 Control Network streaming?,collection_method,Zeekr,007,2024,Control Network
get me Traction battery stats for 01,imperative_commands,Lynk & Co,01,2017,Traction battery
Tire Pressure glitching on EX30?,anomaly_info,Volvo,EX30,2024,Tire Pressure
give me Vision system max min Panda Mini,statistical_query,Geely Auto,Panda Mini,2024,Vision system
pull LIDAR history for 007,imperative_commands,Zeekr,007,2024,LIDAR
first time Noise and Vibration was used in Geely Auto?,temporal_stats,Geely Auto,Panda Mini,2025,Noise and Vibration
get me High Voltage battery stats for 007,imperative_commands,Zeekr,007,2024,High Voltage battery
pull Traction battery history for 05,imperative_commands,Lynk & Co,05,2022,Traction battery
compare Control Network between 009 and EX90,comparative_analysis,Zeekr,009,2025,Control Network
what is Traction battery for Lynk & Co?,data_definition,Lynk & Co,01,2023,Traction battery
what about TPMS on the 08 EM-P?,contextual_followups,Lynk & Co,08 EM-P,2024,TPMS
permission for Evija Control Network data,access_governance,Lotus,Evija,2021,Control Network
Show me outliers for Boot latch sensor in Polestar 5,anomaly_info,Polestar,Polestar 5,2026,Boot latch sensor
what is Hood sensor for Lotus?,data_definition,Lotus,Evija,2024,Hood sensor
what NVH means for car Coolray?,data_definition,Geely Auto,Coolray,2025,NVH
is NVH data stream broken for Starray?,system_status_check,Geely Auto,Starray,2022,NVH
how is Acoustics data gathered for Polestar?,collection_method,Polestar,Polestar 2,2024,Acoustics
status of LIDAR collection in Lynk & Co,system_status_check,Lynk & Co,08 EM-P,2023,LIDAR
compare HV battery between Emira and Emeya,comparative_analysis,Lotus,Emira,2024,HV battery
when stop boot latch sensor for polestar,temporal_stats,Polestar,Polestar 5,2026,Boot latch sensor
identify traction battery anomalies polestar,anomaly_info,Polestar,Polestar 2,2025,Traction battery
bad data points in Trunk sensor Polestar 4,anomaly_info,Polestar,Polestar 4,2024,Trunk sensor
compare Bonnet sensor between EM90 and 07,comparative_analysis,Volvo,EM90,2025,Bonnet sensor
difference in Tire Pressure data for Lotus vs Zeekr,comparative_analysis,Lotus,Emira,2024,Tire Pressure
is HV battery more accurate in 001 or 7X?,comparative_analysis,Zeekr,001,2021,HV battery
permission for emigrant acoustics data,access_governance,Geely Auto,Emigrant,2022,Acoustics
explain adas camera context in 05,data_definition,Lynk & Co,05,2021,ADAS Camera
pull Hood sensor history for Polestar 3,imperative_commands,Polestar,Polestar 3,2025,Hood sensor
what types of tyre pressure data are available for jiyue 07,data_definition,Jiyue,07,2024,Tyre Pressure
request access to 07 Control Network,access_governance,Jiyue,07,2024,Control Network
LiDAR performance Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,Z10,2024,LiDAR
when stop CAN-FD for Zeekr?,temporal_stats,Zeekr,Mix,2025,CAN-FD
does LiDAR need Kistler Wheels for collection?,collection_method,Lynk & Co,05,2020,LiDAR
what is hood sensor for zeekr,data_definition,Zeekr,Mix,2025,Hood sensor
why Tire Pressure collection discontinued X?,temporal_stats,Zeekr,X,2025,Tire Pressure
identify Hood sensor anomalies Lynk & Co,anomaly_info,Lynk & Co,Z10,2024,Hood sensor
identify Noise and Vibration anomalies Polestar,anomaly_info,Polestar,Polestar 3,2025,Noise and Vibration
explain Vision system context in Emira,data_definition,Lotus,Emira,2024,Vision system
special attachments for Z10 Acoustics?,collection_method,Lynk & Co,Z10,2025,Acoustics
for Mix what Autonomous sensor info exists?,data_definition,Zeekr,Mix,2024,Autonomous sensor
Who has access to Control Network logs for Lotus?,access_governance,Lotus,Eletre,2024,Control Network
is Lidar more accurate in Emira or Eletre?,comparative_analysis,Lotus,Emira,2023,Lidar
first time CANBUS was used in Lotus?,temporal_stats,Lotus,Emeya,2024,CANBUS
CANBUS prrformance Polestar vs Lotus,comparative_analysis,Polestar,Polestar 4,2024,CANBUS
show Volvo High Voltage battery owner now,imperative_commands,Volvo,EM90,2025,High Voltage battery
what is ADAS Camera average in Polestar Polestar 5?,statistical_query,Polestar,Polestar 5,2026,ADAS Camera
permission for 007 ADAS Camera data,access_governance,Zeekr,007,2025,ADAS Camera
